source,target,regex,type,code,match,hits,title
"/bcp-video-settings-shared/","https://next.napoan.com/bcp-video-settings-shared","0","url","301","url","0",""
"/backup-pe-and-recovery/","https://next.napoan.com/backup-pe-and-recovery","0","url","301","url","0",""
"/be-beta-113015-character/","https://next.napoan.com/be-beta-113015-character","0","url","301","url","0",""
"/be-beta-329-update/","https://next.napoan.com/be-beta-329-update","0","url","301","url","0",""
"/be-title-screen-layout-change/","https://next.napoan.com/be-title-screen-layout-change","0","url","301","url","0",""
"/be14-coming-instead-of-13/","https://next.napoan.com/be14-coming-instead-of-13","0","url","301","url","0",""
"/beautiful-world-mod-highlands/","https://next.napoan.com/beautiful-world-mod-highlands","0","url","301","url","0",""
"/bedrock-15-switch-first/","https://next.napoan.com/bedrock-15-switch-first","0","url","301","url","0",""
"/bedrock-15-is-in-cert/","https://next.napoan.com/bedrock-15-is-in-cert","0","url","301","url","0",""
"/bedrock-curses-coming/","https://next.napoan.com/bedrock-curses-coming","0","url","301","url","0",""
"/bedrock-first-beta-of-16/","https://next.napoan.com/bedrock-first-beta-of-16","0","url","301","url","0",""
"/bedrock-survival-blockpick/","https://next.napoan.com/bedrock-survival-blockpick","0","url","301","url","0",""
"/bedrock-ravine-seeds/","https://next.napoan.com/bedrock-ravine-seeds","0","url","301","url","0",""
"/bedrock-switch-delayed-until-2018/","https://next.napoan.com/bedrock-switch-delayed-until-2018","0","url","301","url","0",""
"/bedrock-update-1210/","https://next.napoan.com/bedrock-update-1210","0","url","301","url","0",""
"/bedrock-update-1211/","https://next.napoan.com/bedrock-update-1211","0","url","301","url","0",""
"/bedrock-update-122/","https://next.napoan.com/bedrock-update-122","0","url","301","url","0",""
"/bedrock-update-123/","https://next.napoan.com/bedrock-update-123","0","url","301","url","0",""
"/bedrock-update-1213/","https://next.napoan.com/bedrock-update-1213","0","url","301","url","0",""
"/bedrock-update-126/","https://next.napoan.com/bedrock-update-126","0","url","301","url","0",""
"/bedrock-update-125/","https://next.napoan.com/bedrock-update-125","0","url","301","url","0",""
"/bedrock-update-127/","https://next.napoan.com/bedrock-update-127","0","url","301","url","0",""
"/bedrock-update-129/","https://next.napoan.com/bedrock-update-129","0","url","301","url","0",""
"/bedrock-update-16/","https://next.napoan.com/bedrock-update-16","0","url","301","url","0",""
"/bedrock-version12-went-into-cert/","https://next.napoan.com/bedrock-version12-went-into-cert","0","url","301","url","0",""
"/bedrock-update-151/","https://next.napoan.com/bedrock-update-151","0","url","301","url","0",""
"/bedrock-xboxone-mouse-support/","https://next.napoan.com/bedrock-xboxone-mouse-support","0","url","301","url","0",""
"/bedrock-update-161/","https://next.napoan.com/bedrock-update-161","0","url","301","url","0",""
"/best-horror-map/","https://next.napoan.com/best-horror-map","0","url","301","url","0",""
